Category,Ticker Symbol,Company Name,Sector,Approximate Price (INR),Description
"Below 10","ORIENTGREEN","Orient Green Power Ltd","Power / Green Energy",10.00,"Green energy micro-cap focusing on wind and solar power projects."
"10 to 20","SUBEX","Subex Ltd","Cyber Security / AI",13.70,"Provides telecom cybersecurity, fraud management, and data analytics."
"10 to 20","JPPOWER","Jaiprakash Power Ventures Ltd","Power / Energy",16.80,"Power generation utility reducing debt and improving capacity utilization."
"10 to 20","SECUREKLOUD","SecureKloud Technologies Ltd","Cyber Security / Cloud",18.00,"Provides cloud security, compliance, and threat detection."
"20 to 30","URJA","Urja Global Ltd","Solar Power / EV Batteries",22.00,"Manufactures solar panels, green energy solutions, and electric vehicle batteries."
"20 to 30","YESBANK","YES Bank Ltd","Banking / Finance",23.60,"Commercial private sector bank with a focus on digital transaction technology."
"30 to 100","NSLNISP","NMDC Steel Ltd","Metals & Mining (Defence)",43.00,"State-owned steel plant manufacturing special grade steel for defense and infrastructure."
"30 to 100","SUZLON","Suzlon Energy Ltd","Power / Green Energy",52.00,"India's largest wind turbine manufacturer, now debt-free and profitable."
"30 to 100","MOREPENLAB","Morepen Laboratories Ltd","Pharma / Chemicals",65.00,"Pharma company exporting bulk drugs (APIs) and medical equipment globally."
"30 to 100","SJVN","SJVN Ltd","Power / Solar & Wind",69.00,"Public sector undertaking expanding rapid clean energy generation projects."
"30 to 100","NHPC","NHPC Ltd","Power / Hydro & Green Energy",79.20,"India's largest hydropower generation public utility company."
"30 to 100","NMDC","NMDC Ltd","Mining / Minerals",83.20,"India's largest iron ore miner, expanding to gold mining leases internationally."
"30 to 100","NTPCGREEN","NTPC Green Energy Ltd","Power / Solar & Wind",91.90,"Dedicated renewable arm of NTPC investing in solar, wind, and green hydrogen."
"100 to 200","SAIL","Steel Authority of India Ltd","Metals & Mining (Defence)",163.00,"Supplies defense-grade special steel for shipbuilding, submarines, and railways."
"100 to 200","QUICKHEAL","Quick Heal Technologies Ltd","Cyber Security / AI",163.00,"Renowned antivirus and network cybersecurity company incorporating AI threat detection."
"100 to 200","PIRPHYG","Piramal Pharma Ltd","Pharma / CDMO",179.40,"Contract drug development and chemical manufacturer with high exports to Western markets."
"100 to 200","SAKSOFT","Saksoft Ltd","AI / IT Services",179.00,"Information technology provider in artificial intelligence, digital engineering, and automation."
"100 to 200","NATIONALUM","National Aluminium Company Ltd","Mining / Minerals (Defence)",179.90,"State-owned manufacturer of aerospace/defense grade aluminium."
